Component	Percentile Rank	# Compatible Public Results	Figure Of Merit (Average)
Intel Core i3-10100	10th	3	178081322 +/- 6298317
Intel Xeon E3-1280 v5	10th	3	173357211 +/- 42333
AMD Custom APU 0405	10th	4	168347308 +/- 1333772
Intel Core i5-6260U	9th	5	167142723 +/- 2465353
Intel Core i7-8565U	9th	3	166479222 +/- 5596840
Intel Xeon E3-1235L v5	9th	3	162782978 +/- 124829
Intel Xeon E3-1240 v5	9th	3	160379011 +/- 969099
Intel Core i7-5775C	9th	4	160221900 +/- 11434883
Intel Core i7-8550U	8th	3	155193500 +/- 61037
Intel Xeon E3-1270 v5	8th	3	151527800 +/- 547494
Intel Xeon E3-1231 v3	8th	4	146144883 +/- 129452
Intel Core i7-4790	7th	3	144264567 +/- 1074092
Intel Core i7-4790K	7th	3	143393233 +/- 1287809
Intel Core i5-3470	7th	3	137379311 +/- 65128
Intel Core i7-4770K	7th	3	136876555 +/- 1522236
Intel Core i5-4670	7th	4	128697217 +/- 2922758
Intel Core i7-4960X	6th	3	126149344 +/- 210413
Intel Xeon E-2278GEL	6th	6	122313606 +/- 124729
Intel Core i7-5600U	6th	3	121560567 +/- 195209
AMD FX-8370 Eight-Core	6th	4	118692142 +/- 1767314
Intel Core i5-7600K	5th	3	106164178 +/- 62573
AMD Ryzen 3 3200U	5th	4	104880309 +/- 18136
Intel Core i5-5200U	5th	7	104520074 +/- 8126615
Loongson-3A5000LL	3rd	3	82450690 +/- 1173959
Intel Core i7-3770K	3rd	3	74935941 +/- 59160
Spacemit X60	2nd	3	38286830 +/- 282075
ARMv8 Cortex-A55 4-Core	2nd	3	31463729 +/- 361162
ARMv8 Cortex-A72 4-Core	2nd	5	19685122 +/- 1098490
