Component	Percentile Rank	# Compatible Public Results	Milliseconds (Average)
Intel Core i7-3770K	36th	9	1449 +/- 144
Intel Core i5-4300M	35th	5	1461 +/- 166
Intel Core i5-4430	35th	18	1471 +/- 4
2 x Intel Xeon Gold 6130	34th	7	1476 +/- 102
Intel Core i5-7200U	34th	13	1477 +/- 167
2 x Intel Xeon Gold 6142	34th	5	1494 +/- 16
Intel Xeon W-2123	34th	4	1494 +/- 3
Intel Core i5-2500S	33rd	4	1501 +/- 22
Intel Core i5-6260U	33rd	7	1503 +/- 58
Intel Core i5-6200U	33rd	6	1520 +/- 120
Intel Core i3-8100T	32nd	9	1529 +/- 77
AMD Ryzen 7 1700 Eight-Core	32nd	35	1535 +/- 178
Intel Core i7-4600U	32nd	8	1544 +/- 194
AMD Ryzen Threadripper 1950X 16-Core	31st	30	1565 +/- 172
2 x AMD EPYC 7601 32-Core	31st	47	1589 +/- 214
Intel Core i7-4558U	30th	6	1613 +/- 187
AMD EPYC 7251 8-Core	30th	5	1622 +/- 58
Intel Core i7-5960X	29th	20	1634 +/- 200
ARMv8 Cortex-A76 4-Core	29th	11	1657 +/- 191
Intel Core i7-2700K	29th	24	1658 +/- 179
Intel Core i7-5600U	28th	14	1665 +/- 196
Intel Core m3-7Y30	27th	7	1715 +/- 173
Intel Core i3-2120	27th	5	1719 +/- 30
Intel Core i7-3770	27th	4	1729 +/- 204
Intel Core i5-5300U	27th	6	1729 +/- 214
Intel Core i5-5200U	26th	5	1743 +/- 124
Intel Core i7-2600	26th	5	1773 +/- 167
Intel Core i5-3427U	26th	5	1774 +/- 70
Rockchip ARMv8 Cortex-A76 6-Core	26th	7	1774 +/- 17
Low-Tier	25th		> 1779
AMD A10-7850K APU	25th	6	1813 +/- 78
AMD FX-6300 Six-Core	24th	5	1830 +/- 78
Rockchip ARMv8 Cortex-A76 4-Core	24th	12	1844 +/- 132
Intel Core i5-4210U	24th	5	1861 +/- 215
Intel Core i5-4278U	24th	4	1886 +/- 196
AMD A12-9720P RADEON R7 12 COMPUTE CORES 4C+8G	24th	5	1895 +/- 38
Intel Core i5	23rd	8	1909 +/- 145
AMD FX-8150 Eight-Core	23rd	4	1935 +/- 9
2 x Intel Xeon Silver 4214	23rd	4	1959 +/- 199
Intel Core i7 990X	21st	13	2054 +/- 244
Intel Core i5-2410M	21st	5	2058 +/- 142
Intel Core 2 Duo E8500	21st	5	2129 +/- 11
Intel Core i5-2520M	20th	7	2141 +/- 283
Intel Core i7-3630QM	20th	4	2149 +/- 4
Intel Core i7 920	20th	12	2211 +/- 5
AMD FX-8350 Eight-Core	19th	8	2293 +/- 236
Intel Core m3-6Y30	18th	5	2402 +/- 183
