Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
AMD EPYC 9374F x 1,,21.576528756654014,,-5.598421958998375,,,,6.517671272912275,-7.7886260656250315,-5.921578419643816,,-6.606650186198215,,,
AMD EPYC 9374F x 2,,22.180763901196304,,-5.043425116919247,,,,6.51471269087253,-7.1731917424865985,-5.135798437050262,,-6.601230118728877,,,
AMD EPYC 9384X x 1,,,,,10.94840014498095,,,,,,,,,,
AMD EPYC 9384X x 2,,22.14961631073391,,,11.151438964034273,,,,,-5.135798437050262,,,,,
AMD EPYC 9534 x 2,,21.19247108507074,4.406719247264253,,,,,,,,,,,,
AMD EPYC 9554 x 1,,21.57381492678321,,-5.187385805840755,10.83133129068886,,,6.385194398997726,-7.27931883541462,,,-6.744059186311348,,,
AMD EPYC 9554 x 2,,22.171137574338623,,-4.709530201312334,10.83873741881143,,-2.833213344056216,6.3835066348840055,-7.1308988302963465,-4.867534450455582,,-6.739336627357174,,,
AMD EPYC 9575F x 1,,21.876886172590517,,,11.143512594154561,,,6.8690144506657065,-7.111512116496157,-5.480638923341991,,,,18.97247107269499,
AMD EPYC 9575F x 2,,22.534542156038857,,,10.81859758766212,,,6.889591308354466,-7.027314514039777,-4.6443908991413725,,,,19.675476921220064,
AMD EPYC 9634 x 1,,,,-5.170483995038151,,,,,,-5.598421958998375,,,,,
AMD EPYC 9634 x 2,,,,-4.709530201312334,,,,,,-4.770684624465665,,,,,
AMD EPYC 9654 x 1,,21.56201469495376,,-5.099866427824199,10.83372063653299,,-2.772588722239781,6.35088571671474,-7.325148957955575,-5.605802066295998,,-6.747586526829315,,19.082168610589925,
AMD EPYC 9654 x 2,,,,-4.6443908991413725,10.803465958917979,,-2.890371757896165,6.354370040797351,-7.309212365692763,-4.7535901911063645,,-6.747586526829315,,19.65573141751236,
AMD EPYC 9655 x 1,,21.84863635424471,,,11.12548198735986,,,6.7650389767805414,-7.180069874302796,-5.267858159063328,,,,19.26254739340752,
AMD EPYC 9655 x 2,,22.509423232654807,,,,,,6.77078942390898,-7.155396301896734,-4.465908118654584,,,,19.881327285440438,
AMD EPYC 9655P x 1,,21.78096532002662,,,,,,6.771935555839602,,,-2.995732273553991,-6.220590170099739,-2.70805020110221,,
AMD EPYC 9684X x 1,,21.586902900280386,,,10.885940486663952,,,6.336825731146441,-7.355641102974253,-5.225746673713201,,,,19.17237839676697,
AMD EPYC 9684X x 2,,22.217246426980225,,,11.046674784593801,,,,-7.295735072749282,-4.5217885770490405,,,,19.808943641232933,
AMD EPYC 9754 x 1,,21.547937721139103,3.1354942159291497,,10.828797488830443,,,,-7.427738840532894,-6.030685260261263,-3.1780538303479458,,,19.073345846172337,
AMD EPYC 9754 x 2,,,4.007333185232471,,10.905533873227906,,,6.049733455231958,-7.358193752733032,-4.859812404361672,,,,19.61444380578084,
AMD EPYC 9755 x 1,,21.87917543610418,,,11.125025188041535,,,6.684611727667927,-7.1846291527173145,-5.081404364984463,-2.772588722239781,-6.368187186350492,,19.575831860111993,
AMD EPYC 9755 x 2,,22.55372324231904,4.836281906951478,,10.710922779497595,,,6.682108597449809,-7.1853870155804165,-4.290459441148391,,-6.289715570908998,-2.0794415416798357,20.134293744702852,
AMD EPYC 9845 x 1,,21.64122947992415,,,,,,,,-5.793013608384143,,,,,
AMD EPYC 9965 x 1,,21.813961874617547,,,11.086670742654508,,,6.612041034833092,-7.374001859350161,-5.170483995038151,-2.9444389791664407,,,19.720088461212217,
