Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
Intel Core i9-9900K x 1,0.0006506492755022403,0.0018255628706919291,,0.00040544260476799566,,0.0215365246126974,,0.00356916214465957,,,,0.02087180547939414,,,0.009379782056094818
Intel Core i9-9900KS x 1,0.0028686949824347115,0.0003109456109743774,,,0.007466322870076352,0.03125,0.025253813613805267,0.007074446667043354,,,,,,,
Intel Core m3-6Y30 x 1,,,,,,,,,,,,0.034071643620521355,,,
Intel Core m3-7Y30 x 1,,,,,,,,,,,,0.03812702847265091,,,
Intel N150 x 1,,,,,,,,,,,,0.03487883811057364,,,
Intel Pentium G4400 x 1,,,,,,,,,,,,0.005525628560632484,,,
Intel Pentium Gold G6400 x 1,,,,,,,0.040095012010341054,0.01679842102263232,,,,0.012967499578520409,,,
Intel Xeon 6369P x 1,,,,,,,,0.0012442008717101663,,,0.015600052416264179,,,,
Intel Xeon 6728P x 4,,,,,,,,,,0.004123930494211613,,,,,
Intel Xeon 6766E x 1,,,,,0.44721359549995787,,,,,,,,,0.4472135954999579,
Intel Xeon 6766E x 2,,,,,,,,,,,,,,0.5773502691896258,
Intel Xeon 6780E x 1,,,,,0.4472135954999579,,,,,,,,,0.4472135954999579,
Intel Xeon 6980P x 1,,0.03116455348527013,0.04385964912280702,,0.03836512993924041,,,0.0007850928662766597,0.0009666610562895836,0.009496420301661847,0.02621837778937075,0.408248290463863,,0.010570065907386954,
Intel Xeon 6980P x 2,,0.020441478961264643,0.004894413496104963,,,,,0.0011018134908198965,0.008109093846199582,0.008333333333333333,0.020327890704543543,0.0004380502801135249,0.03513641844631533,0.006794095977274531,
Intel Xeon E E-2488 x 1,,,,,,,,0.009180337737535793,,0.006682827364949369,,0.03134674734812789,0.007924288517503273,0.006835079430454318,
Intel Xeon E-2278G x 1,0.5,,,,,,,0.4472135954999579,,,,,,,
Intel Xeon E-2278GEL x 1,0.0022341880100926097,0.0004163101938247751,,,0.0014141141359682464,0.030386856273138203,,,,,,,,,
Intel Xeon E-2288G x 1,,0.0025757738841270467,,,,,0.011363636363636364,0.01272862769115864,,,,0.04326241134751773,,,
Intel Xeon E-2336 x 1,,0.0005105977228528297,0.4472135954999579,,0.00032659220703502287,,,0.0008650166257252571,,0.0005318544288990325,,0.0014144271570014145,,,
Intel Xeon E-2388G x 1,0.0031732901368798747,0.0016260978959617275,0.31622776601683794,,0.000781002138841289,,,0.016109377308686324,,0.0007135846134731632,,0.024805188631929487,,,
Intel Xeon E3-1231 v3 x 1,,0.00044288926626326016,,,,,,,,,,,,,0.009449111696110589
Intel Xeon E3-1235L v5 x 1,,0.00044273705788004317,,,,,,0.0022820168742672957,,,,0.001148515211768381,,,
Intel Xeon E3-1240 v5 x 1,,0.003488670774515483,,,,,,0.030063291139240507,,,,,,,
Intel Xeon E3-1245 v5 x 1,0.0020523658670046044,0.0001578878982506695,,,,,,0.0018098754520050966,,,,0.005500939428771976,,,0.0006194745377571092
Intel Xeon E3-1260L v5 x 1,,0.00016347447781497646,,,,,0.5773502691896258,0.0018386951248077256,,,,0.0009216119663558783,,,0.004919250046408019
Intel Xeon E3-1270 v5 x 1,,0.0020860581905083092,,,,,0.5773502691896257,0.014504754485877899,,,,,,,
Intel Xeon E3-1275 v6 x 1,0.001060725952630029,0.0011160192302655885,,0.0014245512457974553,0.008997666532825336,,,,,,,0.01153476501815153,,,0.001084989935052151
Intel Xeon E3-1280 v5 x 1,0.001392059492155125,0.0001409861684127142,,,,0.010743376064838502,0.0078020306647246735,0.008425959589377675,,,,,,0.013069178553126766,
Intel Xeon E3-12xx v2 x 1,,,,,,,,,,,,0.0007213062462008153,,,
Intel Xeon E5-1680 v3 x 1,0.0012641712278985719,0.00030527244654814936,,,,,0.02793630334788512,0.007042253521126761,,,,0.04696052668948827,,,
Intel Xeon E5-2609 v4 x 1,0.006465421705698285,0.001450116232931392,,0.00025746652935118434,,,,,,,,0.005287587340333661,,,0.0006984215672579969
Intel Xeon E5-2620 v2 x 2,,,,,,0.5773502691896258,,,,,,,,,
Intel Xeon E5-2643 v3 x 2,,,,,,0.37796447300922725,,,,,,,,,
Intel Xeon E5-2650 0 x 2,,,,,,,,0.006873217490352688,,,,,,0.016127780867494317,
Intel Xeon E5-2670 0 x 2,,,,,,,,,,0.07922157662593987,,,,,
Intel Xeon E5-2678 v3 x 2,,,,,,,,0.050518148554092264,,,,,,,
Intel Xeon E5-2680 v2 x 2,,,,,,0.408248290463863,,0.04919127854082014,,,,,,,
Intel Xeon E5-2683 v4 x 2,,,,,,0.5773502691896258,,,,,,,,,
Intel Xeon E5-2687W 0 x 2,,,,,,,,,,,,,,0.005151345001625951,
Intel Xeon E5-2687W v3 x 1,0.006589546535200876,0.002175022177459046,,,,,,0.010400316174417626,,,,0.01445956197921342,,,
Intel Xeon E5-2690 v4 x 2,,,,,,,,,,0.006416822299194274,,,,,
Intel Xeon E5-2696 v4 x 2,,0.0086576463672691,0.031943828249996996,,,,,,,0.02297149612160315,,,,,
Intel Xeon E5-2699 v4 x 2,,0.001453111414932023,,,,,,,,,,,,,
Intel Xeon E5-4620 v4 x 4,,,,,,0.5773502691896258,,,,,,,,,
Intel Xeon Gold 5215 x 1,,,,,,0.5773502691896258,,,,,,,,,
Intel Xeon Gold 5217 x 1,,,,,,0.4472135954999579,,0.001547451887543107,,,,0.00493110834732778,,,
Intel Xeon Gold 5218 x 1,,,,,,0.5,0.06275546404235063,0.00808249881193196,,,,0.016673827662706,,,
Intel Xeon Gold 5218 x 2,,0.008702253958094177,,,,,,0.01710667464265558,,,,,,,
Intel Xeon Gold 5220R x 1,0.0036544619931011923,0.0016638933512669472,,,,,0.5773502691896258,0.02417370786486259,0.0020311355116609526,,,0.0035840804625998407,,,
Intel Xeon Gold 5220R x 2,0.0021640659581905674,0.029174925653658947,,0.002472592159270346,,,0.009523809523809523,0.013257574358899231,0.002124888112490385,0.0005561735261401557,,0.006513296372516946,,,0.0014347202295552368
Intel Xeon Gold 5412U x 1,,,,,,,,0.06531639409013948,,,,,,,
Intel Xeon Gold 5416S x 1,,,,,,,,,,,,,,0.020687804976406803,
Intel Xeon Gold 6130 x 2,,,,,,,,,,,,0.026119496102263665,,,
Intel Xeon Gold 6138 x 2,,,,,,0.3779644730092272,,0.08427162314258513,,,,,,,
Intel Xeon Gold 6140 x 2,,,,,,0.5773502691896258,,,,,,,,,
Intel Xeon Gold 6142 x 2,,,,,,,,,,,,0.004789436096385092,,,
Intel Xeon Gold 6144 x 2,,,,,,,,,,,,,,,0.0012427148833565986
Intel Xeon Gold 6226R x 1,0.005015543385671907,0.0019421577009611866,,0.5773502691896257,,0.5,0.029839300500728465,0.004179728317659352,,0.002516470662719415,,0.008640175459552658,,,0.0022820168742672957
Intel Xeon Gold 6226R x 2,,,,,,,,0.014950166112956811,,,,,,,
Intel Xeon Gold 6248R x 2,0.0013100436681222707,,,,,,,,,,,0.0124062646100095,,,
Intel Xeon Gold 6254 x 2,,,,,,,,0.5773502691896258,,,,0.00033183887006955855,,,
Intel Xeon Gold 6254 x 4,,,,,,,,0.013426750446270367,,,,,,,
Intel Xeon Gold 6258R x 1,0.0029948559862250927,0.0033292125238217137,,,,,0.5773502691896257,0.01282051282051282,0.003972861597338044,,,0.005484460694698354,,,
